"initial_alias","converted_alias","name","description","namespace"
"ENSP00000302216","ATOH1","ATOH1","atonal bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:797]","ENSP"
"ENSP00000275461","FERD3L","FERD3L","Fer3 like bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:16660]","ENSP"
"ENSP00000455444","TCF24","TCF24","transcription factor 24 [Source:HGNC Symbol;Acc:HGNC:32275]","ENSP"
"ENSP00000428205","FBXO32","FBXO32","F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]","ENSP"
"ENSP00000435770","ASCL3","ASCL3","achaete-scute family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:740]","ENSP"
"ENSP00000381382","TCF4","TCF4","transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]","ENSP"
"ENSP00000266744","ASCL1","ASCL1","achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]","ENSP"
"ENSP00000482581","TWIST2","TWIST2","twist family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:20670]","ENSP"
"ENSP00000358519","NHLH2","NHLH2","nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]","ENSP"
"ENSP00000281047","MSGN1","MSGN1","mesogenin 1 [Source:HGNC Symbol;Acc:HGNC:14907]","ENSP"
"ENSP00000356857","TCF21","TCF21","transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]","ENSP"
"ENSP00000365280","ID1","ID1","inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360]","ENSP"
"ENSP00000367972","ID4","ID4","inhibitor of DNA binding 4 [Source:HGNC Symbol;Acc:HGNC:5363]","ENSP"
"ENSP00000363689","ID3","ID3","inhibitor of DNA binding 3 [Source:HGNC Symbol;Acc:HGNC:5362]","ENSP"
"ENSP00000271555","MEF2D","MEF2D","myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]","ENSP"
"ENSP00000228644","MYF5","MYF5","myogenic factor 5 [Source:HGNC Symbol;Acc:HGNC:7565]","ENSP"
"ENSP00000388940","TCF12","TCF12","transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11623]","ENSP"
"ENSP00000331040","OLIG2","OLIG2","oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398]","ENSP"
"ENSP00000302189","NHLH1","NHLH1","nescient helix-loop-helix 1 [Source:HGNC Symbol;Acc:HGNC:7817]","ENSP"
"ENSP00000362777","ATOH7","ATOH7","atonal bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:13907]","ENSP"
"ENSP00000371785","OLIG1","OLIG1","oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983]","ENSP"
"ENSP00000228641","MYF6","MYF6","myogenic factor 6 [Source:HGNC Symbol;Acc:HGNC:7566]","ENSP"
"ENSP00000365773","PSAT1","PSAT1","phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]","ENSP"
"ENSP00000313490","PFAS","PFAS","phosphoribosylformylglycinamidine synthase [Source:HGNC Symbol;Acc:HGNC:8863]","ENSP"
"ENSP00000371253","GART","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]","ENSP"
"ENSP00000267103","MYG1","MYG1","MYG1 exonuclease [Source:HGNC Symbol;Acc:HGNC:17590]","ENSP"
"ENSP00000356988","NIT1","NIT1","nitrilase 1 [Source:HGNC Symbol;Acc:HGNC:7828]","ENSP"
"ENSP00000417480","FHIT","FHIT","fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]","ENSP"
"ENSP00000309477","ACO1","ACO1","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]","ENSP"
"ENSP00000258886","IREB2","IREB2","iron responsive element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6115]","ENSP"
"ENSP00000397261","SELENBP1","SELENBP1","selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]","ENSP"
"ENSP00000478253","MTHFD1L","MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]","ENSP"
"ENSP00000382595","PAICS","PAICS","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]","ENSP"
"ENSP00000216605","None","None","None",""
"ENSP00000373073","UROC1","UROC1","urocanate hydratase 1 [Source:HGNC Symbol;Acc:HGNC:26444]","ENSP"
"ENSP00000333667","SHMT2","SHMT2","serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]","ENSP"
"ENSP00000365462","PCCA","PCCA","propionyl-CoA carboxylase subunit alpha [Source:HGNC Symbol;Acc:HGNC:8653]","ENSP"
"ENSP00000377532","PC","PC","pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]","ENSP"
"ENSP00000265594","MCCC1","MCCC1","methylcrotonyl-CoA carboxylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:6936]","ENSP"
"ENSP00000343657","MCCC2","MCCC2","methylcrotonyl-CoA carboxylase subunit 2 [Source:HGNC Symbol;Acc:HGNC:6937]","ENSP"
"ENSP00000366617","ZNG1A","ZNG1A","Zn regulated GTPase metalloprotein activator 1A [Source:HGNC Symbol;Acc:HGNC:17134]","ENSP"
"ENSP00000296658","CMBL","CMBL","carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]","ENSP"
"ENSP00000318868","SHMT1","SHMT1","serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]","ENSP"
"ENSP00000367893","SEPHS1","SEPHS1","selenophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:19685]","ENSP"
"ENSP00000357880","AMD1","AMD1","adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]","ENSP"
"ENSP00000264220","PPAT","PPAT","phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]","ENSP"
"ENSP00000259199","ZNG1B","ZNG1B","Zn regulated GTPase metalloprotein activator 1B [Source:HGNC Symbol;Acc:HGNC:17907]","ENSP"
"ENSP00000419027","PCCB","PCCB","propionyl-CoA carboxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8654]","ENSP"
"ENSP00000315152","METAP1D","METAP1D","methionyl aminopeptidase type 1D, mitochondrial [Source:HGNC Symbol;Acc:HGNC:32583]","ENSP"
"ENSP00000296411","METAP1","METAP1","methionyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:15789]","ENSP"
"ENSP00000421965","PRRC1","PRRC1","proline rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28164]","ENSP"
"ENSP00000241051","DEPDC7","DEPDC7","DEP domain containing 7 [Source:HGNC Symbol;Acc:HGNC:29899]","ENSP"
"ENSP00000256797","ERN2","ERN2","endoplasmic reticulum to nucleus signaling 2 [Source:HGNC Symbol;Acc:HGNC:16942]","ENSP"
"ENSP00000425048","DTWD2","DTWD2","DTW domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19334]","ENSP"
"ENSP00000364568","None","None","None",""
"ENSP00000351989","SFTA2","SFTA2","surfactant associated 2 [Source:HGNC Symbol;Acc:HGNC:18386]","ENSP"
"ENSP00000366608","ZNG1F","ZNG1F","Zn regulated GTPase metalloprotein activator 1F [Source:HGNC Symbol;Acc:HGNC:31978]","ENSP"
"ENSP00000366612","ZNG1E","ZNG1E","Zn regulated GTPase metalloprotein activator 1E [Source:HGNC Symbol;Acc:HGNC:24584]","ENSP"
"ENSP00000340776","CFAP65","CFAP65","cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]","ENSP"
"ENSP00000263620","ARID3A","ARID3A","AT-rich interaction domain 3A [Source:HGNC Symbol;Acc:HGNC:3031]","ENSP"
"ENSP00000368189","ARID3C","ARID3C","AT-rich interaction domain 3C [Source:HGNC Symbol;Acc:HGNC:21209]","ENSP"
"ENSP00000343126","ARID3B","ARID3B","AT-rich interaction domain 3B [Source:HGNC Symbol;Acc:HGNC:14350]","ENSP"
"ENSP00000350078","ARID5A","ARID5A","AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]","ENSP"
"ENSP00000251020","SALL1","SALL1","spalt like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10524]","ENSP"
"ENSP00000329170","POU3F2","POU3F2","POU class 3 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9215]","ENSP"
"ENSP00000380093","SOX10","SOX10","SRY-box transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11190]","ENSP"
"ENSP00000281321","POU4F2","POU4F2","POU class 4 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9219]","ENSP"
"ENSP00000341243","RBPJL","RBPJL","recombination signal binding protein for immunoglobulin kappa J region like [Source:HGNC Symbol;Acc:HGNC:13761]","ENSP"
"ENSP00000245479","SOX9","SOX9","SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]","ENSP"
"ENSP00000255305","XPO4","XPO4","exportin 4 [Source:HGNC Symbol;Acc:HGNC:17796]","ENSP"
"ENSP00000340672","ARMCX3","ARMCX3","armadillo repeat containing X-linked 3 [Source:HGNC Symbol;Acc:HGNC:24065]","ENSP"
"ENSP00000375921","PAX3","PAX3","paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]","ENSP"
"ENSP00000282728","HHEX","HHEX","hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]","ENSP"
"ENSP00000230732","None","None","None",""
"ENSP00000384004","POU6F2","POU6F2","POU class 6 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21694]","ENSP"
"ENSP00000398273","SOX5","SOX5","SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]","ENSP"
"ENSP00000293894","SOX8","SOX8","SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]","ENSP"
"ENSP00000365687","PTF1A","PTF1A","pancreas associated transcription factor 1a [Source:HGNC Symbol;Acc:HGNC:23734]","ENSP"
"ENSP00000337128","EDN3","EDN3","endothelin 3 [Source:HGNC Symbol;Acc:HGNC:3178]","ENSP"
"ENSP00000379644","SOX6","SOX6","SRY-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:16421]","ENSP"
"ENSP00000476384","SCX","SCX","scleraxis bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:32322]","ENSP"
"ENSP00000366413","POU4F1","POU4F1","POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218]","ENSP"
"ENSP00000260264","POU2F3","POU2F3","POU class 2 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:19864]","ENSP"
"ENSP00000356172","SOX13","SOX13","SRY-box transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:11192]","ENSP"
"ENSP00000362103","POU3F1","POU3F1","POU class 3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9214]","ENSP"
"ENSP00000362296","None","None","None",""
"ENSP00000373895","None","None","None",""
"ENSP00000355001","POU3F3","POU3F3","POU class 3 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9216]","ENSP"
"ENSP00000253968","BARX1","BARX1","BARX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:955]","ENSP"
"ENSP00000343200","SKOR1","SKOR1","SKI family transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:21326]","ENSP"
"ENSP00000370990","SHOX","SHOX","short stature homeobox [Source:HGNC Symbol;Acc:HGNC:10853]","ENSP"
"ENSP00000305906","UTF1","UTF1","undifferentiated embryonic cell transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12634]","ENSP"
"ENSP00000407726","VWA5A","VWA5A","von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]","ENSP"
"ENSP00000278836","MYRF","MYRF","myelin regulatory factor [Source:HGNC Symbol;Acc:HGNC:1181]","ENSP"
"ENSP00000359212","LBX1","LBX1","ladybird homeobox 1 [Source:HGNC Symbol;Acc:HGNC:16960]","ENSP"
"ENSP00000482410","JRK","JRK","Jrk helix-turn-helix protein [Source:HGNC Symbol;Acc:HGNC:6199]","ENSP"
"ENSP00000009105","CAMK1G","CAMK1G","calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]","ENSP"
"ENSP00000478874","CAMK1D","CAMK1D","calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]","ENSP"
"ENSP00000355167","HORMAD1","HORMAD1","HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]","ENSP"
"ENSP00000336984","HORMAD2","HORMAD2","HORMA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28383]","ENSP"
"ENSP00000012049","QPCTL","QPCTL","glutaminyl-peptide cyclotransferase like [Source:HGNC Symbol;Acc:HGNC:25952]","ENSP"
"ENSP00000020673","PSD","PSD","pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]","ENSP"
"ENSP00000255448","DCLK1","DCLK1","doublecortin like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2700]","ENSP"
"ENSP00000303887","DCLK2","DCLK2","doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002]","ENSP"
"ENSP00000394484","DCLK3","DCLK3","doublecortin like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19005]","ENSP"
"ENSP00000256460","CAMK1","CAMK1","calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]","ENSP"
"ENSP00000291041","PSKH1","PSKH1","protein serine kinase H1 [Source:HGNC Symbol;Acc:HGNC:9529]","ENSP"
"ENSP00000405950","PNCK","PNCK","pregnancy up-regulated nonubiquitous CaM kinase [Source:HGNC Symbol;Acc:HGNC:13415]","ENSP"
"ENSP00000378288","MYLK3","MYLK3","myosin light chain kinase 3 [Source:HGNC Symbol;Acc:HGNC:29826]","ENSP"
"ENSP00000274643","MYLK4","MYLK4","myosin light chain kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:27972]","ENSP"
"ENSP00000367715","DCDC2","DCDC2","doublecortin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18141]","ENSP"
"ENSP00000263955","STK17B","STK17B","serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]","ENSP"
"ENSP00000319192","STK17A","STK17A","serine/threonine kinase 17a [Source:HGNC Symbol;Acc:HGNC:11395]","ENSP"
"ENSP00000365162","MYLK2","MYLK2","myosin light chain kinase 2 [Source:HGNC Symbol;Acc:HGNC:16243]","ENSP"
"ENSP00000274710","PSD2","PSD2","pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]","ENSP"
"ENSP00000324127","PSD3","PSD3","pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]","ENSP"
"ENSP00000364212","CDA","CDA","cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]","ENSP"
"ENSP00000416750","STK33","STK33","serine/threonine kinase 33 [Source:HGNC Symbol;Acc:HGNC:14568]","ENSP"
"ENSP00000329214","ST6GALNAC3","ST6GALNAC3","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]","ENSP"
"ENSP00000382794","RNF212B","RNF212B","ring finger protein 212B [Source:HGNC Symbol;Acc:HGNC:20438]","ENSP"
"ENSP00000261556","TMEM260","TMEM260","transmembrane protein 260 [Source:HGNC Symbol;Acc:HGNC:20185]","ENSP"
"ENSP00000250535","CDO1","CDO1","cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]","ENSP"
"ENSP00000296498","PRSS12","PRSS12","serine protease 12 [Source:HGNC Symbol;Acc:HGNC:9477]","ENSP"
"ENSP00000261891","DAPK2","DAPK2","death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]","ENSP"
"ENSP00000414022","PERM1","PERM1","PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]","ENSP"
"ENSP00000420270","UHMK1","UHMK1","U2AF homology motif kinase 1 [Source:HGNC Symbol;Acc:HGNC:19683]","ENSP"
"ENSP00000484912","None","None","None",""
"ENSP00000380524","CAPSL","CAPSL","calcyphosine like [Source:HGNC Symbol;Acc:HGNC:28375]","ENSP"
"ENSP00000419195","CAMKV","CAMKV","CaM kinase like vesicle associated [Source:HGNC Symbol;Acc:HGNC:28788]","ENSP"
"ENSP00000295824","EFHB","EFHB","EF-hand domain family member B [Source:HGNC Symbol;Acc:HGNC:26330]","ENSP"
"ENSP00000386959","CAPS2","CAPS2","calcyphosine 2 [Source:HGNC Symbol;Acc:HGNC:16471]","ENSP"
"ENSP00000312942","SEZ6","SEZ6","seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]","ENSP"
"ENSP00000370419","TTC38","TTC38","tetratricopeptide repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:26082]","ENSP"
"ENSP00000360116","UBE2U","UBE2U","ubiquitin conjugating enzyme E2 U [Source:HGNC Symbol;Acc:HGNC:28559]","ENSP"
"ENSP00000287156","UBE2L6","UBE2L6","ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]","ENSP"
"ENSP00000355865","PRKN","PRKN","parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]","ENSP"
"ENSP00000376765","PIAS3","PIAS3","protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]","ENSP"
"ENSP00000381717","UBE2D2","UBE2D2","ubiquitin conjugating enzyme E2 D2 [Source:HGNC Symbol;Acc:HGNC:12475]","ENSP"
"ENSP00000428209","UBE2V2","UBE2V2","ubiquitin conjugating enzyme E2 V2 [Source:HGNC Symbol;Acc:HGNC:12495]","ENSP"
"ENSP00000324792","NFATC2IP","NFATC2IP","nuclear factor of activated T cells 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:25906]","ENSP"
"ENSP00000380178","UBE2G1","UBE2G1","ubiquitin conjugating enzyme E2 G1 [Source:HGNC Symbol;Acc:HGNC:12482]","ENSP"
"ENSP00000405965","SUMO2","SUMO2","small ubiquitin like modifier 2 [Source:HGNC Symbol;Acc:HGNC:11125]","ENSP"
"ENSP00000349722","UBE2D3","UBE2D3","ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]","ENSP"
"ENSP00000316176","UBE2N","UBE2N","ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]","ENSP"
"ENSP00000270225","SAE1","SAE1","SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660]","ENSP"
"ENSP00000386788","UBE2E3","UBE2E3","ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]","ENSP"
"ENSP00000263228","UBE2R2","UBE2R2","ubiquitin conjugating enzyme E2 R2 [Source:HGNC Symbol;Acc:HGNC:19907]","ENSP"
"ENSP00000373772","RNF20","RNF20","ring finger protein 20 [Source:HGNC Symbol;Acc:HGNC:10062]","ENSP"
"ENSP00000222402","UBE2D4","UBE2D4","ubiquitin conjugating enzyme E2 D4 (putative) [Source:HGNC Symbol;Acc:HGNC:21647]","ENSP"
"ENSP00000246548","UBA2","UBA2","ubiquitin like modifier activating enzyme 2 [Source:HGNC Symbol;Acc:HGNC:30661]","ENSP"
"ENSP00000465676","PIAS2","PIAS2","protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]","ENSP"
"ENSP00000333266","UBA7","UBA7","ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]","ENSP"
"ENSP00000264926","RAD18","RAD18","RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]","ENSP"
"ENSP00000338413","UBA1","UBA1","ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]","ENSP"
"ENSP00000249636","PIAS1","PIAS1","protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]","ENSP"
"ENSP00000426503","RNF4","RNF4","ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]","ENSP"
"ENSP00000308944","HLTF","HLTF","helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]","ENSP"
"ENSP00000325677","RNF40","RNF40","ring finger protein 40 [Source:HGNC Symbol;Acc:HGNC:16867]","ENSP"
"ENSP00000360613","UBE2A","UBE2A","ubiquitin conjugating enzyme E2 A [Source:HGNC Symbol;Acc:HGNC:12472]","ENSP"
"ENSP00000376077","SUMO1","SUMO1","small ubiquitin like modifier 1 [Source:HGNC Symbol;Acc:HGNC:12502]","ENSP"
"ENSP00000261427","UBE2K","UBE2K","ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914]","ENSP"
"ENSP00000219548","STUB1","STUB1","STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]","ENSP"
"ENSP00000313454","UBA6","UBA6","ubiquitin like modifier activating enzyme 6 [Source:HGNC Symbol;Acc:HGNC:25581]","ENSP"
"ENSP00000379931","UBE2E2","UBE2E2","ubiquitin conjugating enzyme E2 E2 [Source:HGNC Symbol;Acc:HGNC:12478]","ENSP"
"ENSP00000265339","UBE2B","UBE2B","ubiquitin conjugating enzyme E2 B [Source:HGNC Symbol;Acc:HGNC:12473]","ENSP"
"ENSP00000409666","SUMO3","SUMO3","small ubiquitin like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]","ENSP"
"ENSP00000334474","ZMIZ1","ZMIZ1","zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]","ENSP"
"ENSP00000400906","UBE2L3","UBE2L3","ubiquitin conjugating enzyme E2 L3 [Source:HGNC Symbol;Acc:HGNC:12488]","ENSP"
"ENSP00000348056","UBE2I","UBE2I","ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]","ENSP"
"ENSP00000318635","SUMO4","SUMO4","small ubiquitin like modifier 4 [Source:HGNC Symbol;Acc:HGNC:21181]","ENSP"
"ENSP00000347232","BLM","BLM","BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]","ENSP"
"ENSP00000055077","RFC2","RFC2","replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]","ENSP"
"ENSP00000369497","BRCA2","BRCA2","BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]","ENSP"
"ENSP00000343741","ATR","ATR","ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]","ENSP"
"ENSP00000278935","CEP164","CEP164","centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]","ENSP"
"ENSP00000310356","RMI2","RMI2","RecQ mediated genome instability 2 [Source:HGNC Symbol;Acc:HGNC:28349]","ENSP"
"ENSP00000323099","ATRIP","ATRIP","ATR interacting protein [Source:HGNC Symbol;Acc:HGNC:33499]","ENSP"
"ENSP00000261881","TIPIN","TIPIN","TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]","ENSP"
"ENSP00000479598","RHNO1","RHNO1","RAD9-HUS1-RAD1 interacting nuclear orphan 1 [Source:HGNC Symbol;Acc:HGNC:28206]","ENSP"
"ENSP00000388648","CHEK1","CHEK1","checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]","ENSP"
"ENSP00000349823","SMARCAL1","SMARCAL1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:HGNC Symbol;Acc:HGNC:11102]","ENSP"
"ENSP00000265433","NBN","NBN","nibrin [Source:HGNC Symbol;Acc:HGNC:7652]","ENSP"
"ENSP00000376440","RAD9B","RAD9B","RAD9 checkpoint clamp component B [Source:HGNC Symbol;Acc:HGNC:21700]","ENSP"
"ENSP00000305480","FEN1","FEN1","flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]","ENSP"
"ENSP00000450607","TIMELESS","TIMELESS","timeless circadian regulator [Source:HGNC Symbol;Acc:HGNC:11813]","ENSP"
"ENSP00000369411","RFC3","RFC3","replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]","ENSP"
"ENSP00000372088","RAD51","RAD51","RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]","ENSP"
"ENSP00000325863","MRE11","MRE11","MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]","ENSP"
"ENSP00000259008","BRIP1","BRIP1","BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]","ENSP"
"ENSP00000363017","RPA2","RPA2","replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]","ENSP"
"ENSP00000312995","CLSPN","CLSPN","claspin [Source:HGNC Symbol;Acc:HGNC:19715]","ENSP"
"ENSP00000311360","RAD9A","RAD9A","RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]","ENSP"
"ENSP00000258774","HUS1","HUS1","HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]","ENSP"
"ENSP00000382628","RBBP8","RBBP8","RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]","ENSP"
"ENSP00000371469","RAD1","RAD1","RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806]","ENSP"
"ENSP00000351284","RAD52","RAD52","RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]","ENSP"
"ENSP00000368100","RAD50","RAD50","RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]","ENSP"
"ENSP00000426191","RAD17","RAD17","RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]","ENSP"
"ENSP00000351185","DNA2","DNA2","DNA replication helicase/nuclease 2 [Source:HGNC Symbol;Acc:HGNC:2939]","ENSP"
"ENSP00000355506","EXO1","EXO1","exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]","ENSP"
"ENSP00000408295","RFC5","RFC5","replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]","ENSP"
"ENSP00000298139","WRN","WRN","WRN RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:12791]","ENSP"
"ENSP00000254719","RPA1","RPA1","replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]","ENSP"
"ENSP00000376272","RFC4","RFC4","replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]","ENSP"
"ENSP00000223129","RPA3","RPA3","replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]","ENSP"
"ENSP00000209728","CDC6","CDC6","cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]","ENSP"
"ENSP00000260810","TOPBP1","TOPBP1","DNA topoisomerase II binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17008]","ENSP"
"ENSP00000264110","ATF2","ATF2","activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]","ENSP"
"ENSP00000378181","BRD7","BRD7","bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]","ENSP"
"ENSP00000436901","DPF2","DPF2","double PHD fingers 2 [Source:HGNC Symbol;Acc:HGNC:9964]","ENSP"
