module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_REAC	term_id_KEGG	goslim_pir	genes
281	M1	e019_M1	Glycosphingolipid metabolism	NA	REAC:R-HSA-1660662	NA	NA	ENSP00000320935;ENSP00000341564;ENSP00000362773;ENSP00000256366;ENSP00000267113;ENSP00000347649;ENSP00000275766;ENSP00000432943;ENSP00000215862;ENSP00000232603;ENSP00000367038;ENSP00000251527;ENSP00000300035;ENSP00000482133;ENSP00000378503;ENSP00000374218;ENSP00000376702;ENSP00000332404
282	M1	e019_M1	Ub-specific processing proteases	NA	REAC:R-HSA-5689880	NA	GO:0036211;GO:0006508	ENSP00000309163;ENSP00000303706;ENSP00000485306;ENSP00000485364;ENSP00000414392;ENSP00000425955;ENSP00000400880;ENSP00000427264;ENSP00000425582;ENSP00000389443;ENSP00000423115;ENSP00000422216;ENSP00000403760;ENSP00000423503;ENSP00000478980;ENSP00000485243;ENSP00000485323;ENSP00000422621
283	M1	e019_M1	histone deacetylation	GO:0016575	NA	NA	GO:0036211	ENSP00000319141;ENSP00000439689;ENSP00000250916;ENSP00000472474;ENSP00000375770;ENSP00000426387;ENSP00000279873;ENSP00000361995;ENSP00000361705;ENSP00000286523;ENSP00000380413;ENSP00000264819;ENSP00000383820;ENSP00000310978;ENSP00000296486;ENSP00000285697;ENSP00000370596;ENSP00000361784
284	M1	e019_M1	social behavior	GO:0035176	NA	NA	GO:0032501;GO:0051703	ENSP00000349596;ENSP00000390625;ENSP00000386520;ENSP00000333917;ENSP00000346874;ENSP00000240316;ENSP00000458663;ENSP00000244769;ENSP00000362560;ENSP00000255304;ENSP00000359567;ENSP00000354501;ENSP00000482632;ENSP00000296327;ENSP00000415822;ENSP00000339260;ENSP00000335292;ENSP00000361608
287	M1	e019_M1	stabilization of membrane potential / Tandem pore domain potassium channels	GO:0030322	REAC:R-HSA-1296346	NA	GO:0065008;GO:0006811	ENSP00000306275;ENSP00000355580;ENSP00000336888;ENSP00000379862;ENSP00000430676;ENSP00000361952;ENSP00000344820;ENSP00000264231;ENSP00000394033;ENSP00000263372;ENSP00000282146;ENSP00000391498;ENSP00000362328;ENSP00000312811;ENSP00000334650;ENSP00000327611;ENSP00000352527;ENSP00000444948
289	M1	e019_M1	ceramide biosynthetic process / Sphingolipid de novo biosynthesis	GO:0046513	REAC:R-HSA-1660661	NA	GO:0043603;GO:0006066;GO:0044255	ENSP00000379934;ENSP00000350378;ENSP00000216484;ENSP00000359634;ENSP00000298130;ENSP00000326869;ENSP00000243045;ENSP00000381968;ENSP00000349689;ENSP00000352097;ENSP00000377724;ENSP00000262554;ENSP00000379390;ENSP00000351686;ENSP00000355720;ENSP00000421226;ENSP00000364013;ENSP00000368965
290	M1	e019_M1	Uptake of dietary cobalamins into enterocytes	NA	REAC:R-HSA-9758881	NA	NA	ENSP00000301244;ENSP00000351190;ENSP00000378642;ENSP00000401112;ENSP00000399518;ENSP00000217428;ENSP00000354280;ENSP00000485444;ENSP00000352601;ENSP00000245680;ENSP00000265132;ENSP00000429344;ENSP00000254816;ENSP00000273283;ENSP00000370055;ENSP00000303963;ENSP00000354294;ENSP00000468040
291	M1	e019_M1	response to hydrogen peroxide	GO:0042542	NA	NA	GO:0050896	ENSP00000295951;ENSP00000315702;ENSP00000377867;ENSP00000355991;ENSP00000284437;ENSP00000325748;ENSP00000375777;ENSP00000365730;ENSP00000160373;ENSP00000229395;ENSP00000343658;ENSP00000249344;ENSP00000358541;ENSP00000263918;ENSP00000358810;ENSP00000350071;ENSP00000271277;ENSP00000376506
292	M1	e019_M1	cell redox homeostasis / Detoxification of Reactive Oxygen Species	GO:0045454	REAC:R-HSA-3299685	NA	GO:0050896;GO:0008152	ENSP00000363641;ENSP00000215754;ENSP00000368970;ENSP00000301522;ENSP00000261070;ENSP00000301329;ENSP00000228740;ENSP00000234454;ENSP00000270142;ENSP00000265462;ENSP00000216185;ENSP00000356354;ENSP00000403645;ENSP00000262746;ENSP00000354061;ENSP00000263867;ENSP00000356982;ENSP00000332449
293	M1	e019_M1	Anchoring of the basal body to the plasma membrane	NA	REAC:R-HSA-5620912	NA	NA	ENSP00000313811;ENSP00000342105;ENSP00000334808;ENSP00000342510;ENSP00000262127;ENSP00000362244;ENSP00000382390;ENSP00000370803;ENSP00000367476;ENSP00000368464;ENSP00000365782;ENSP00000332148;ENSP00000382474;ENSP00000280758;ENSP00000386389;ENSP00000352941;ENSP00000368402
294	M1	e019_M1	sperm capacitation / Hedgehog signaling pathway / Activation of SMO	GO:0048240	REAC:R-HSA-5635838	KEGG:04340	GO:0048469	ENSP00000326170;ENSP00000360129;ENSP00000184183;ENSP00000432305;ENSP00000483621;ENSP00000228850;ENSP00000426271;ENSP00000379462;ENSP00000421405;ENSP00000480715;ENSP00000264956;ENSP00000344579;ENSP00000261058;ENSP00000252655;ENSP00000422188;ENSP00000342144;ENSP00000474388
295	M1	e019_M1	leukocyte activation involved in immune response	GO:0002366	NA	NA	GO:0002376;GO:0001775	ENSP00000484431;ENSP00000356906;ENSP00000175756;ENSP00000357012;ENSP00000357022;ENSP00000375649;ENSP00000306190;ENSP00000464087;ENSP00000416126;ENSP00000360181;ENSP00000357036;ENSP00000423602;ENSP00000364613;ENSP00000263285;ENSP00000310998;ENSP00000312367;ENSP00000435299
296	M1	e019_M1	negative regulation of DNA metabolic process / Apoptosis induced DNA fragmentation	GO:0051053	REAC:R-HSA-140342	NA	GO:0065009;GO:0050789	ENSP00000366237;ENSP00000358478;ENSP00000344674;ENSP00000296503;ENSP00000397655;ENSP00000244534;ENSP00000274306;ENSP00000478672;ENSP00000339524;ENSP00000253159;ENSP00000267845;ENSP00000337731;ENSP00000294409;ENSP00000329264;ENSP00000333275;ENSP00000319799;ENSP00000266068
297	M1	e019_M1	cell redox homeostasis / Detoxification of Reactive Oxygen Species	GO:0045454	REAC:R-HSA-3299685	NA	GO:0008150	ENSP00000264350;ENSP00000401508;ENSP00000363634;ENSP00000304908;ENSP00000372667;ENSP00000356410;ENSP00000434516;ENSP00000383365;ENSP00000298510;ENSP00000303057;ENSP00000311010;ENSP00000242576;ENSP00000263702;ENSP00000355927;ENSP00000454919;ENSP00000322251;ENSP00000450895
300	M1	e019_M1	galactose metabolic process	GO:0006012	NA	NA	GO:0005975	ENSP00000262879;ENSP00000302647;ENSP00000368589;ENSP00000303580;ENSP00000202677;ENSP00000404151;ENSP00000297578;ENSP00000419199;ENSP00000465930;ENSP00000221403;ENSP00000453129;ENSP00000221804;ENSP00000272252;ENSP00000348933;ENSP00000268797;ENSP00000278409;ENSP00000353249
302	M1	e019_M1	Activation of the TFAP2 (AP-2) family of transcription factors	NA	REAC:R-HSA-8866907	NA	NA	ENSP00000368924;ENSP00000008391;ENSP00000444198;ENSP00000394390;ENSP00000384367;ENSP00000362332;ENSP00000361721;ENSP00000201031;ENSP00000401764;ENSP00000465617;ENSP00000379894;ENSP00000311224;ENSP00000219746;ENSP00000481917;ENSP00000343617;ENSP00000366330;ENSP00000384527
305	M1	e019_M1	mitotic chromosome condensation / Condensation of Prometaphase Chromosomes	GO:0007076	REAC:R-HSA-2514853	NA	GO:0051276	ENSP00000370196;ENSP00000324573;ENSP00000375857;ENSP00000352676;ENSP00000351619;ENSP00000382269;ENSP00000380557;ENSP00000325017;ENSP00000269701;ENSP00000355551;ENSP00000256190;ENSP00000338727;ENSP00000240423;ENSP00000251496;ENSP00000244711;ENSP00000456861;ENSP00000320849
306	M1	e019_M1	chondroitin sulfate biosynthetic process / Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate / Chondroitin sulfate biosynthesis	GO:0030206	REAC:R-HSA-2022870	KEGG:00532	GO:0019538;GO:0006790;GO:0009059	ENSP00000286298;ENSP00000035307;ENSP00000302629;ENSP00000411816;ENSP00000261226;ENSP00000363590;ENSP00000350718;ENSP00000254190;ENSP00000376930;ENSP00000243776;ENSP00000478834;ENSP00000338487;ENSP00000355827;ENSP00000359172;ENSP00000416002;ENSP00000300571;ENSP00000376456
307	M1	e019_M1	Carboxyterminal post-translational modifications of tubulin	NA	REAC:R-HSA-8955332	NA	NA	ENSP00000438748;ENSP00000453273;ENSP00000302814;ENSP00000388620;ENSP00000352265;ENSP00000264866;ENSP00000442439;ENSP00000356107;ENSP00000266254;ENSP00000270066;ENSP00000367878;ENSP00000441410;ENSP00000273598;ENSP00000385579;ENSP00000464780;ENSP00000464167;ENSP00000319053
308	M1	e019_M1	positive regulation of pyruvate dehydrogenase activity / Miscellaneous transport and binding events	GO:1904184	REAC:R-HSA-5223345	NA	GO:0065009;GO:0006811;GO:0015931	ENSP00000379503;ENSP00000339659;ENSP00000359483;ENSP00000338887;ENSP00000479953;ENSP00000332674;ENSP00000259324;ENSP00000356297;ENSP00000309548;ENSP00000356265;ENSP00000317224;ENSP00000375919;ENSP00000433102;ENSP00000288050;ENSP00000444896;ENSP00000475489;ENSP00000457511
311	M1	e019_M1	regulation of mRNA splicing, via spliceosome	GO:0048024	NA	NA	GO:0000375;GO:0050789	ENSP00000414302;ENSP00000378505;ENSP00000362931;ENSP00000416951;ENSP00000377262;ENSP00000394734;ENSP00000339245;ENSP00000480140;ENSP00000262710;ENSP00000334538;ENSP00000216832;ENSP00000352956;ENSP00000420195;ENSP00000357345;ENSP00000416959;ENSP00000253363;ENSP00000297071
312	M1	e019_M1	Focal adhesion	NA	NA	KEGG:04510	GO:0006996	ENSP00000482472;ENSP00000171887;ENSP00000377941;ENSP00000252699;ENSP00000431984;ENSP00000325240;ENSP00000211998;ENSP00000453508;ENSP00000324422;ENSP00000350937;ENSP00000355645;ENSP00000425556;ENSP00000245932;ENSP00000376652;ENSP00000355809;ENSP00000316543;ENSP00000200457
313	M1	e019_M1	post-embryonic animal organ morphogenesis / Molecules associated with elastic fibres	GO:0048563	REAC:R-HSA-2129379	NA	GO:0045229;GO:0051179;GO:0050789;GO:0032502;GO:0043062;GO:0022607	ENSP00000345008;ENSP00000322956;ENSP00000386043;ENSP00000364685;ENSP00000384169;ENSP00000424571;ENSP00000309953;ENSP00000378957;ENSP00000331544;ENSP00000231004;ENSP00000378058;ENSP00000352455;ENSP00000325527;ENSP00000351807;ENSP00000311905;ENSP00000346839;ENSP00000265077
314	M1	e019_M1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	NA	REAC:R-HSA-198933	NA	NA	ENSP00000289361;ENSP00000198536;ENSP00000370588;ENSP00000360660;ENSP00000383115;ENSP00000328277;ENSP00000266383;ENSP00000421048;ENSP00000442157;ENSP00000391748;ENSP00000327599;ENSP00000244519;ENSP00000348751;ENSP00000410764;ENSP00000412724;ENSP00000480322
317	M1	e019_M1	coenzyme A biosynthetic process / Coenzyme A biosynthesis	GO:0015937	REAC:R-HSA-196783	NA	GO:0009117	ENSP00000361642;ENSP00000343190;ENSP00000308515;ENSP00000464814;ENSP00000398803;ENSP00000362330;ENSP00000473553;ENSP00000478610;ENSP00000269127;ENSP00000369614;ENSP00000314806;ENSP00000376989;ENSP00000482704;ENSP00000250974;ENSP00000336693;ENSP00000315370
318	M1	e019_M1	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	NA	REAC:R-HSA-1362300	NA	GO:0050789;GO:0032502	ENSP00000207157;ENSP00000451812;ENSP00000357175;ENSP00000385461;ENSP00000420616;ENSP00000341947;ENSP00000398124;ENSP00000329102;ENSP00000439782;ENSP00000301159;ENSP00000481103;ENSP00000255087;ENSP00000434602;ENSP00000222968;ENSP00000323246;ENSP00000406164
320	M1	e019_M1	polyamine metabolic process / Metabolism of polyamines	GO:0006595	REAC:R-HSA-351202	NA	GO:0009308;GO:0050789;GO:0006520	ENSP00000369822;ENSP00000292539;ENSP00000473381;ENSP00000319788;ENSP00000294517;ENSP00000380467;ENSP00000365233;ENSP00000334940;ENSP00000389399;ENSP00000234111;ENSP00000337180;ENSP00000313922;ENSP00000463013;ENSP00000478220;ENSP00000338276;ENSP00000339155
321	M1	e019_M1	proline biosynthetic process	GO:0006561	NA	NA	GO:0006520;GO:0046483	ENSP00000220966;ENSP00000360268;ENSP00000334140;ENSP00000276925;ENSP00000384949;ENSP00000342502;ENSP00000272444;ENSP00000378854;ENSP00000223273;ENSP00000279147;ENSP00000414068;ENSP00000370215;ENSP00000352513;ENSP00000261208;ENSP00000378050;ENSP00000419628
323	M1	e019_M1	glutaminyl-tRNAGln biosynthesis via transamidation / Aminoacyl-tRNA biosynthesis	GO:0070681	NA	KEGG:00970	GO:0006520;GO:0016070	ENSP00000229416;ENSP00000005286;ENSP00000331313;ENSP00000358042;ENSP00000359258;ENSP00000355086;ENSP00000446872;ENSP00000477639;ENSP00000298375;ENSP00000348828;ENSP00000262662;ENSP00000481012;ENSP00000386928;ENSP00000263985;ENSP00000243167;ENSP00000364035
326	M1	e019_M1	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway / Sphingolipid metabolism	GO:0007193	NA	KEGG:00600	GO:0050789	ENSP00000378394;ENSP00000350976;ENSP00000306449;ENSP00000233055;ENSP00000373364;ENSP00000220325;ENSP00000403802;ENSP00000317445;ENSP00000367564;ENSP00000392452;ENSP00000381204;ENSP00000233379;ENSP00000410470;ENSP00000261304;ENSP00000356251;ENSP00000375683
328	M1	e019_M1	Ferroptosis / Scavenging by Class A Receptors	NA	REAC:R-HSA-3000480	KEGG:04216	NA	ENSP00000304783;ENSP00000274532;ENSP00000463027;ENSP00000356899;ENSP00000273550;ENSP00000344844;ENSP00000302913;ENSP00000216540;ENSP00000366525;ENSP00000379367;ENSP00000365320;ENSP00000361669;ENSP00000346990;ENSP00000357167;ENSP00000366641;ENSP00000383698
329	M1	e019_M1	Defective CSF2RA causes SMDP4	NA	REAC:R-HSA-5688890	NA	GO:0019538;GO:0009059	ENSP00000361400;ENSP00000361366;ENSP00000343924;ENSP00000365919;ENSP00000321330;ENSP00000316152;ENSP00000386346;ENSP00000375622;ENSP00000367265;ENSP00000230053;ENSP00000265471;ENSP00000433847;ENSP00000294338;ENSP00000357905;ENSP00000397082;ENSP00000428331
330	M1	e019_M1	Gluconeogenesis	NA	REAC:R-HSA-70263	NA	GO:0006810	ENSP00000257555;ENSP00000307411;ENSP00000253801;ENSP00000386935;ENSP00000476176;ENSP00000344648;ENSP00000311833;ENSP00000361413;ENSP00000328938;ENSP00000330918;ENSP00000299299;ENSP00000269097;ENSP00000310880;ENSP00000421544;ENSP00000480291;ENSP00000313121
331	M1	e019_M1	regulation of ventricular cardiac muscle cell membrane repolarization / Phase 3 - rapid repolarisation	GO:0060307	REAC:R-HSA-5576890	NA	GO:0065009;GO:0050789;GO:0065008;GO:0006811	ENSP00000155840;ENSP00000290310;ENSP00000361173;ENSP00000337255;ENSP00000262186;ENSP00000281830;ENSP00000485125;ENSP00000289932;ENSP00000310557;ENSP00000484228;ENSP00000321498;ENSP00000256953;ENSP00000384312;ENSP00000257981;ENSP00000370543;ENSP00000463533
332	M1	e019_M1	spermidine acetylation	GO:0032918	NA	NA	GO:0009308	ENSP00000373566;ENSP00000269373;ENSP00000216071;ENSP00000257867;ENSP00000250615;ENSP00000283233;ENSP00000406047;ENSP00000368572;ENSP00000244930;ENSP00000269298;ENSP00000303070;ENSP00000261592;ENSP00000342169;ENSP00000483523;ENSP00000368931;ENSP00000360757
333	M1	e019_M1	regulation of insulin-like growth factor receptor signaling pathway / Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	GO:0043567	REAC:R-HSA-381426	NA	GO:0050789	ENSP00000391826;ENSP00000406327;ENSP00000476140;ENSP00000416683;ENSP00000447879;ENSP00000233809;ENSP00000370473;ENSP00000235332;ENSP00000233813;ENSP00000275525;ENSP00000301464;ENSP00000356634;ENSP00000363506;ENSP00000295666;ENSP00000416050;ENSP00000413100
334	M1	e019_M1	negative regulation of cholesterol storage / PPAR signaling pathway / Nuclear Receptor transcription pathway	GO:0010887	REAC:R-HSA-383280	KEGG:03320	GO:0051179;GO:0050789	ENSP00000477707;ENSP00000363817;ENSP00000312987;ENSP00000385523;ENSP00000383063;ENSP00000254227;ENSP00000355904;ENSP00000325819;ENSP00000384851;ENSP00000336528;ENSP00000348069;ENSP00000310928;ENSP00000447149;ENSP00000253727;ENSP00000344479;ENSP00000352900
335	M1	e019_M1	glutamate biosynthetic process / Pyruvate metabolism / Ethanol oxidation	GO:0006537	REAC:R-HSA-71384	KEGG:00620	GO:0043603;GO:0006520	ENSP00000378161;ENSP00000277865;ENSP00000317379;ENSP00000346827;ENSP00000316924;ENSP00000238618;ENSP00000253799;ENSP00000253382;ENSP00000352584;ENSP00000366927;ENSP00000261733;ENSP00000345774;ENSP00000310447;ENSP00000327589;ENSP00000312326;ENSP00000387123
336	M1	e019_M1	Pancreatic secretion	NA	NA	KEGG:04972	NA	ENSP00000011292;ENSP00000290122;ENSP00000222481;ENSP00000365116;ENSP00000338369;ENSP00000264265;ENSP00000435582;ENSP00000296046;ENSP00000362308;ENSP00000222482;ENSP00000420237;ENSP00000237696;ENSP00000241305;ENSP00000394954;ENSP00000417222
338	M1	e019_M1	Relaxin signaling pathway / Relaxin receptors	NA	REAC:R-HSA-444821	KEGG:04926	NA	ENSP00000405841;ENSP00000298386;ENSP00000480378;ENSP00000378548;ENSP00000369017;ENSP00000419740;ENSP00000223862;ENSP00000371000;ENSP00000371040;ENSP00000330426;ENSP00000302724;ENSP00000328708;ENSP00000335158;ENSP00000357301;ENSP00000397415
341	M1	e019_M1	Sphingolipid metabolism / Defective NEU1 causes sialidosis	NA	REAC:R-HSA-4341670	KEGG:00600	GO:0006082;GO:0006629;GO:0006790;GO:0006518	ENSP00000458977;ENSP00000376807;ENSP00000216124;ENSP00000370128;ENSP00000361562;ENSP00000306920;ENSP00000268695;ENSP00000345849;ENSP00000229243;ENSP00000394051;ENSP00000364782;ENSP00000295759;ENSP00000320318;ENSP00000396615;ENSP00000268793
342	M1	e019_M1	CDC42 GTPase cycle	NA	REAC:R-HSA-9013148	NA	NA	ENSP00000374447;ENSP00000325091;ENSP00000334375;ENSP00000309689;ENSP00000211314;ENSP00000359310;ENSP00000276202;ENSP00000294618;ENSP00000251157;ENSP00000394888;ENSP00000349238;ENSP00000405202;ENSP00000359546;ENSP00000359550;ENSP00000405210
343	M1	e019_M1	intermediate filament-based process	GO:0045103	NA	NA	GO:0008150	ENSP00000259396;ENSP00000379138;ENSP00000357206;ENSP00000358865;ENSP00000377374;ENSP00000468500;ENSP00000311997;ENSP00000410396;ENSP00000221166;ENSP00000386439;ENSP00000443176;ENSP00000384400;ENSP00000435150;ENSP00000394936;ENSP00000326858
344	M1	e019_M1	protein deubiquitination	GO:0016579	NA	NA	GO:0036211;GO:0006508	ENSP00000468837;ENSP00000423630;ENSP00000228136;ENSP00000343526;ENSP00000307491;ENSP00000371805;ENSP00000406084;ENSP00000270223;ENSP00000261980;ENSP00000431876;ENSP00000282344;ENSP00000303434;ENSP00000407818;ENSP00000332325;ENSP00000363136
345	M1	e019_M1	positive regulation of calcium ion transport into cytosol / Calcium signaling pathway / Elevation of cytosolic Ca2+ levels	GO:0010524	REAC:R-HSA-139853	KEGG:04020	GO:0050789;GO:0065008;GO:0006811	ENSP00000263733;ENSP00000388909;ENSP00000343339;ENSP00000330696;ENSP00000353032;ENSP00000350509;ENSP00000225328;ENSP00000416193;ENSP00000225538;ENSP00000296435;ENSP00000227638;ENSP00000379183;ENSP00000382026;ENSP00000284288;ENSP00000263314
346	M1	e019_M1	ABC transporters	NA	NA	KEGG:02010	NA	ENSP00000441755;ENSP00000478255;ENSP00000329002;ENSP00000428698;ENSP00000481728;ENSP00000354995;ENSP00000325421;ENSP00000393154;ENSP00000264249;ENSP00000229633;ENSP00000384881;ENSP00000263817;ENSP00000297770;ENSP00000265723;ENSP00000368140
347	M1	e019_M1	positive regulation of respiratory gaseous exchange / Neuroactive ligand-receptor interaction / The canonical retinoid cycle in rods (twilight vision)	GO:1903942	REAC:R-HSA-2453902	KEGG:04080	GO:0044255;GO:0032501;GO:0050789	ENSP00000349003;ENSP00000378089;ENSP00000257895;ENSP00000262340;ENSP00000315417;ENSP00000256857;ENSP00000258042;ENSP00000359682;ENSP00000369643;ENSP00000268125;ENSP00000293502;ENSP00000330389;ENSP00000330338;ENSP00000397178;ENSP00000347322
350	M1	e019_M1	gastric inhibitory peptide signaling pathway / Glucagon-type ligand receptors	GO:0038192	REAC:R-HSA-420092	NA	NA	ENSP00000262441;ENSP00000217121;ENSP00000346886;ENSP00000350005;ENSP00000278070;ENSP00000379701;ENSP00000220429;ENSP00000479708;ENSP00000341677;ENSP00000376924;ENSP00000362759;ENSP00000357914;ENSP00000467494;ENSP00000482732;ENSP00000323927
354	M1	e019_M1	peptide hormone processing	GO:0016486	NA	NA	GO:0051604;GO:0042445;GO:0006508;GO:0006518	ENSP00000366326;ENSP00000404203;ENSP00000316416;ENSP00000406577;ENSP00000262545;ENSP00000386840;ENSP00000398722;ENSP00000300175;ENSP00000306163;ENSP00000312946;ENSP00000376623;ENSP00000300954;ENSP00000321679;ENSP00000360762;ENSP00000351790
355	M1	e019_M1	RNA methylation	GO:0001510	NA	NA	GO:0016070;GO:0043412	ENSP00000351141;ENSP00000401277;ENSP00000358718;ENSP00000454545;ENSP00000358799;ENSP00000329614;ENSP00000357080;ENSP00000225899;ENSP00000379396;ENSP00000369292;ENSP00000323348;ENSP00000357764;ENSP00000464330;ENSP00000458290;ENSP00000480314
356	M1	e019_M1	radial spoke assembly	GO:0062177	NA	NA	GO:0006996;GO:0065003	ENSP00000419298;ENSP00000437872;ENSP00000385885;ENSP00000354053;ENSP00000265007;ENSP00000356574;ENSP00000361238;ENSP00000221538;ENSP00000229554;ENSP00000358575;ENSP00000366144;ENSP00000261593;ENSP00000330218;ENSP00000276055;ENSP00000358753
357	M1	e019_M1	protein ufmylation	GO:0071569	NA	NA	GO:0050789;GO:0036211	ENSP00000362340;ENSP00000379218;ENSP00000346483;ENSP00000313854;ENSP00000336994;ENSP00000358283;ENSP00000438886;ENSP00000287859;ENSP00000356272;ENSP00000264689;ENSP00000329548;ENSP00000229447;ENSP00000344937;ENSP00000368637;ENSP00000387077
358	M1	e019_M1	cytidine to uridine editing / mRNA Editing: C to U Conversion	GO:0016554	REAC:R-HSA-72200	NA	GO:0006304;GO:0016070	ENSP00000295728;ENSP00000449960;ENSP00000371212;ENSP00000378868;ENSP00000445366;ENSP00000244669;ENSP00000405388;ENSP00000284202;ENSP00000288607;ENSP00000229304;ENSP00000443926;ENSP00000392353;ENSP00000310622;ENSP00000328149;ENSP00000385741
360	M1	e019_M1	protein localization to perinuclear region of cytoplasm	GO:1905719	NA	NA	GO:0016192;GO:0051641	ENSP00000387318;ENSP00000285928;ENSP00000380785;ENSP00000327054;ENSP00000308369;ENSP00000360252;ENSP00000378152;ENSP00000265978;ENSP00000439128;ENSP00000244314;ENSP00000331167;ENSP00000407353;ENSP00000305699;ENSP00000485589;ENSP00000413196
361	M1	e019_M1	N-glycan processing	GO:0006491	NA	NA	GO:0019538	ENSP00000478533;ENSP00000396843;ENSP00000466134;ENSP00000204679;ENSP00000340466;ENSP00000297625;ENSP00000299314;ENSP00000307801;ENSP00000313350;ENSP00000417914;ENSP00000311401;ENSP00000248211;ENSP00000366939;ENSP00000288078;ENSP00000391524
362	M1	e019_M1	centrosome cycle / Loss of proteins required for interphase microtubule organization from the centrosome	GO:0007098	REAC:R-HSA-380284	NA	GO:0022607;GO:0006996;GO:0031023	ENSP00000298050;ENSP00000206474;ENSP00000253669;ENSP00000369871;ENSP00000359230;ENSP00000260372;ENSP00000439056;ENSP00000282058;ENSP00000243706;ENSP00000341346;ENSP00000379566;ENSP00000295872;ENSP00000366984;ENSP00000346359;ENSP00000303058
363	M1	e019_M1	cell cycle G1/S phase transition / Cell cycle / Cyclin D associated events in G1	GO:0044843	REAC:R-HSA-69231	KEGG:04110	GO:0050789;GO:0007049	ENSP00000266970;ENSP00000267163;ENSP00000337976;ENSP00000274026;ENSP00000355249;ENSP00000368686;ENSP00000262904;ENSP00000345571;ENSP00000352516;ENSP00000364519;ENSP00000362768;ENSP00000227163;ENSP00000262133;ENSP00000303424;ENSP00000274255
364	M1	e019_M1	Insulin signaling pathway / CREB1 phosphorylation through the activation of Adenylate Cyclase	NA	REAC:R-HSA-442720	KEGG:04910	GO:0065009;GO:0050789	ENSP00000360485;ENSP00000405252;ENSP00000265717;ENSP00000359719;ENSP00000262848;ENSP00000378207;ENSP00000385749;ENSP00000025301;ENSP00000225737;ENSP00000351327;ENSP00000376475;ENSP00000478212;ENSP00000366488;ENSP00000265563;ENSP00000309591
365	M1	e019_M1	superoxide anion generation / RHO GTPases Activate NADPH Oxidases	GO:0042554	REAC:R-HSA-5668599	NA	GO:0008152	ENSP00000475084;ENSP00000356505;ENSP00000289473;ENSP00000317997;ENSP00000159060;ENSP00000362057;ENSP00000261623;ENSP00000342848;ENSP00000249071;ENSP00000451828;ENSP00000380450;ENSP00000367851;ENSP00000373518;ENSP00000380334;ENSP00000263317
366	M1	e019_M1	RNA Polymerase I Transcription Termination	NA	REAC:R-HSA-73863	NA	GO:0006351	ENSP00000455265;ENSP00000302640;ENSP00000198767;ENSP00000349541;ENSP00000465099;ENSP00000339976;ENSP00000444136;ENSP00000410409;ENSP00000333920;ENSP00000380414;ENSP00000367029;ENSP00000263857;ENSP00000222567;ENSP00000331111;ENSP00000263663
367	M1	e019_M1	release of sequestered calcium ion into cytosol / Calcium signaling pathway / Ion homeostasis	GO:0051209	REAC:R-HSA-5578775	KEGG:04020	GO:0065009;GO:0050789;GO:0006811	ENSP00000380307;ENSP00000419081;ENSP00000357057;ENSP00000355533;ENSP00000261448;ENSP00000370744;ENSP00000344488;ENSP00000369689;ENSP00000368767;ENSP00000284262;ENSP00000304643;ENSP00000315299;ENSP00000439281;ENSP00000362071;ENSP00000373884
368	M1	e019_M1	enamel mineralization / Post-translational protein phosphorylation	GO:0070166	REAC:R-HSA-8957275	NA	GO:0032502	ENSP00000416984;ENSP00000370088;ENSP00000168148;ENSP00000322323;ENSP00000368682;ENSP00000350630;ENSP00000313809;ENSP00000348050;ENSP00000379383;ENSP00000379682;ENSP00000341013;ENSP00000379401;ENSP00000468308;ENSP00000357922
369	M1	e019_M1	Inflammatory mediator regulation of TRP channels / TRP channels	NA	REAC:R-HSA-3295583	KEGG:04750	GO:0006811	ENSP00000323926;ENSP00000459962;ENSP00000346265;ENSP00000462046;ENSP00000262209;ENSP00000461007;ENSP00000342222;ENSP00000256906;ENSP00000380247;ENSP00000465638;ENSP00000314042;ENSP00000301365;ENSP00000357389;ENSP00000407112
370	M1	e019_M1	cellular response to cholesterol	GO:0071397	NA	NA	GO:0050896	ENSP00000393316;ENSP00000246024;ENSP00000299957;ENSP00000418910;ENSP00000441032;ENSP00000278422;ENSP00000261811;ENSP00000319726;ENSP00000361001;ENSP00000402457;ENSP00000426120;ENSP00000350881;ENSP00000287590;ENSP00000450580
371	M1	e019_M1	tachykinin receptor signaling pathway / Neuroactive ligand-receptor interaction / Tachykinin receptors bind tachykinins	GO:0007217	REAC:R-HSA-380095	KEGG:04080	GO:0050789	ENSP00000188790;ENSP00000321106;ENSP00000337473;ENSP00000227525;ENSP00000371420;ENSP00000234371;ENSP00000303325;ENSP00000466971;ENSP00000356162;ENSP00000362403;ENSP00000483110;ENSP00000406482;ENSP00000307640;ENSP00000334042
