module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_KEGG	term_id_REAC	goslim_pir	genes
82	R1	e019_R1	RNA polymerase / RNA Polymerase III Chain Elongation	NA	KEGG:03020	REAC:R-HSA-73780	GO:0006351;GO:0050789;GO:0032502;GO:0006354	ENSP00000198767;ENSP00000219252;ENSP00000221265;ENSP00000221859;ENSP00000222567;ENSP00000225504;ENSP00000228347;ENSP00000252445;ENSP00000263857;ENSP00000272645;ENSP00000292614;ENSP00000293860;ENSP00000299601;ENSP00000299853;ENSP00000301788;ENSP00000302478;ENSP00000319104;ENSP00000324124;ENSP00000330898;ENSP00000331111;ENSP00000334564;ENSP00000339495;ENSP00000342889;ENSP00000347345;ENSP00000351218;ENSP00000355013;ENSP00000356405;ENSP00000358064;ENSP00000358320;ENSP00000358497;ENSP00000361446;ENSP00000361465;ENSP00000362532;ENSP00000364578;ENSP00000366828;ENSP00000367029;ENSP00000370625;ENSP00000372335;ENSP00000374280;ENSP00000376097;ENSP00000378736;ENSP00000380904;ENSP00000381984;ENSP00000382058;ENSP00000396527;ENSP00000403852;ENSP00000415536;ENSP00000444136;ENSP00000465099;ENSP00000470252;ENSP00000473290;ENSP00000476948;ENSP00000478303;ENSP00000480158;ENSP00000483328
83	R1	e019_R1	hydrogen peroxide catabolic process / African trypanosomiasis / Scavenging of heme from plasma	GO:0042744	KEGG:05143	REAC:R-HSA-2168880	GO:0065003;GO:0008152;GO:0006869;GO:0015669;GO:0050789;GO:0032501	ENSP00000199708;ENSP00000222381;ENSP00000236850;ENSP00000251595;ENSP00000252951;ENSP00000263094;ENSP00000264005;ENSP00000265627;ENSP00000274306;ENSP00000307199;ENSP00000317674;ENSP00000322421;ENSP00000333994;ENSP00000348170;ENSP00000349270;ENSP00000350425;ENSP00000352071;ENSP00000363868;ENSP00000369586;ENSP00000369609;ENSP00000369654;ENSP00000380489;ENSP00000399421;ENSP00000441828
84	R1	e019_R1	positive regulation of Arp2/3 complex-mediated actin nucleation / Pathogenic Escherichia coli infection / RHO GTPases Activate WASPs and WAVEs	GO:2000601	KEGG:05130	REAC:R-HSA-5663213	GO:0050789;GO:0016043	ENSP00000199764;ENSP00000225388;ENSP00000244336;ENSP00000250113;ENSP00000277575;ENSP00000281172;ENSP00000293373;ENSP00000295851;ENSP00000316338;ENSP00000334300;ENSP00000335055;ENSP00000337513;ENSP00000350170;ENSP00000350937;ENSP00000354251;ENSP00000355809;ENSP00000359506;ENSP00000365312;ENSP00000376368;ENSP00000381773;ENSP00000432472;ENSP00000440190;ENSP00000444645;ENSP00000481038;ENSP00000483313
85	R1	e019_R1	organelle membrane fusion / SNARE interactions in vesicular transport / Intra-Golgi and retrograde Golgi-to-ER traffic	GO:0090174	KEGG:04130	REAC:R-HSA-6811442	GO:0016192;GO:0061024;GO:0048284;GO:0016050	ENSP00000200135;ENSP00000222547;ENSP00000223369;ENSP00000225567;ENSP00000225724;ENSP00000231668;ENSP00000236192;ENSP00000257700;ENSP00000258301;ENSP00000263354;ENSP00000263897;ENSP00000264454;ENSP00000281513;ENSP00000294179;ENSP00000303437;ENSP00000305255;ENSP00000305810;ENSP00000310521;ENSP00000311429;ENSP00000314157;ENSP00000324628;ENSP00000328236;ENSP00000356918;ENSP00000358126;ENSP00000363054;ENSP00000372210;ENSP00000376792;ENSP00000450731;ENSP00000463393;ENSP00000466298;ENSP00000478557
86	R1	e019_R1	ECM-receptor interaction / Type I hemidesmosome assembly	NA	KEGG:04512	REAC:R-HSA-446107	GO:0050789;GO:0022607	ENSP00000200181;ENSP00000222399;ENSP00000233121;ENSP00000264144;ENSP00000292385;ENSP00000307959;ENSP00000319829;ENSP00000323856;ENSP00000340937;ENSP00000364550;ENSP00000364721;ENSP00000374309;ENSP00000386896;ENSP00000420095;ENSP00000484631;ENSP00000484715
87	R1	e019_R1	transforming growth factor beta receptor signaling pathway / TGF-beta signaling pathway / TGF-beta receptor signaling activates SMADs	GO:0007179	KEGG:04350	REAC:R-HSA-2173789	GO:0051641;GO:0016050;GO:0048284;GO:0065003;GO:0061024;GO:0036211;GO:0006793;GO:0016192;GO:0050789;GO:0050896	ENSP00000200453;ENSP00000212355;ENSP00000220509;ENSP00000221930;ENSP00000222693;ENSP00000238682;ENSP00000262158;ENSP00000262435;ENSP00000267199;ENSP00000287727;ENSP00000302621;ENSP00000307292;ENSP00000309457;ENSP00000311905;ENSP00000327650;ENSP00000335193;ENSP00000337159;ENSP00000339191;ENSP00000349541;ENSP00000351905;ENSP00000354621;ENSP00000355896;ENSP00000356832;ENSP00000361664;ENSP00000362299;ENSP00000364133;ENSP00000369810;ENSP00000377027;ENSP00000377265;ENSP00000383199;ENSP00000384126;ENSP00000404704;ENSP00000427793;ENSP00000452181;ENSP00000453872;ENSP00000481126
88	R1	e019_R1	regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway / Melanoma / PIP3 activates AKT signaling	GO:1900238	KEGG:05218	REAC:R-HSA-1257604	GO:0050789	ENSP00000200457;ENSP00000242786;ENSP00000257290;ENSP00000261799;ENSP00000275364;ENSP00000288368;ENSP00000290894;ENSP00000304604;ENSP00000330382;ENSP00000346508;ENSP00000354671;ENSP00000356030;ENSP00000361021;ENSP00000363553;ENSP00000366404;ENSP00000376865;ENSP00000395389;ENSP00000404179;ENSP00000418525;ENSP00000422464;ENSP00000433433;ENSP00000443256;ENSP00000476145
89	R1	e019_R1	regulation of epithelial to mesenchymal transition	GO:0010717	NA	NA	GO:0032502;GO:0050789;GO:0050896	ENSP00000202017;ENSP00000250448;ENSP00000274498;ENSP00000310375;ENSP00000337393;ENSP00000341189;ENSP00000346879;ENSP00000347358;ENSP00000362082;ENSP00000363822;ENSP00000368632;ENSP00000378028;ENSP00000378332;ENSP00000423390;ENSP00000463027;ENSP00000463201;ENSP00000464036
90	R1	e019_R1	Regulation of TP53 Activity through Association with Co-factors	NA	NA	REAC:R-HSA-6804759	GO:0050789	ENSP00000202556;ENSP00000234170;ENSP00000264731;ENSP00000268058;ENSP00000269305;ENSP00000301727;ENSP00000317872;ENSP00000317992;ENSP00000319788;ENSP00000341957;ENSP00000343023;ENSP00000357697;ENSP00000363668;ENSP00000367545;ENSP00000377192;ENSP00000384491;ENSP00000398516;ENSP00000403902;ENSP00000428489
91	R1	e019_R1	rRNA processing / rRNA modification in the nucleus and cytosol	GO:0006364	NA	REAC:R-HSA-6790901	GO:0042254;GO:0006396	ENSP00000202816;ENSP00000221801;ENSP00000225298;ENSP00000229214;ENSP00000232888;ENSP00000244230;ENSP00000247003;ENSP00000253247;ENSP00000254803;ENSP00000257829;ENSP00000259239;ENSP00000260563;ENSP00000261637;ENSP00000261708;ENSP00000274849;ENSP00000291576;ENSP00000296792;ENSP00000297579;ENSP00000297990;ENSP00000308179;ENSP00000308332;ENSP00000314193;ENSP00000320917;ENSP00000321449;ENSP00000326981;ENSP00000327179;ENSP00000328854;ENSP00000344393;ENSP00000350698;ENSP00000355541;ENSP00000358812;ENSP00000362105;ENSP00000363642;ENSP00000363746;ENSP00000370589;ENSP00000370741;ENSP00000371101;ENSP00000371169;ENSP00000377944;ENSP00000383949;ENSP00000384302;ENSP00000386134;ENSP00000405068;ENSP00000411010;ENSP00000419005;ENSP00000423067;ENSP00000428619;ENSP00000454836;ENSP00000460871;ENSP00000470560;ENSP00000473383;ENSP00000477848;ENSP00000479504;ENSP00000482107;ENSP00000485630
92	R1	e019_R1	regulation of insulin-like growth factor receptor signaling pathway / Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	GO:0043567	NA	REAC:R-HSA-381426	GO:0050789;GO:0050896	ENSP00000202967;ENSP00000233809;ENSP00000233813;ENSP00000240652;ENSP00000263915;ENSP00000265986;ENSP00000268035;ENSP00000269593;ENSP00000275525;ENSP00000295666;ENSP00000301464;ENSP00000302476;ENSP00000302665;ENSP00000303394;ENSP00000303522;ENSP00000303830;ENSP00000321106;ENSP00000357178;ENSP00000362403;ENSP00000370473;ENSP00000380432;ENSP00000380440;ENSP00000381793;ENSP00000391826;ENSP00000416683;ENSP00000457492
93	R1	e019_R1	mRNA methylation	GO:0080009	NA	NA	GO:0006396;GO:0043412	ENSP00000203001;ENSP00000302801;ENSP00000374399
94	R1	e019_R1	spliceosomal snRNP assembly / snRNP Assembly	GO:0000387	NA	REAC:R-HSA-191859	GO:0000375;GO:0065003	ENSP00000203629;ENSP00000204549;ENSP00000215829;ENSP00000254301;ENSP00000262776;ENSP00000266529;ENSP00000266735;ENSP00000270257;ENSP00000272348;ENSP00000281950;ENSP00000285873;ENSP00000286307;ENSP00000300413;ENSP00000303015;ENSP00000308533;ENSP00000312326;ENSP00000319341;ENSP00000321706;ENSP00000327599;ENSP00000333298;ENSP00000339834;ENSP00000342374;ENSP00000344241;ENSP00000358716;ENSP00000369895;ENSP00000370083;ENSP00000370119;ENSP00000372313;ENSP00000372482;ENSP00000381008;ENSP00000392270;ENSP00000400591;ENSP00000403310;ENSP00000412566;ENSP00000413861;ENSP00000419270;ENSP00000432886;ENSP00000442699;ENSP00000463188
95	R1	e019_R1	tyrosine phosphorylation of STAT protein / Adipocytokine signaling pathway / Signaling by Leptin	GO:0007260	KEGG:04920	REAC:R-HSA-2586552	GO:0036211;GO:0006793;GO:0032502;GO:0050789;GO:0050896	ENSP00000204615;ENSP00000222139;ENSP00000228280;ENSP00000252723;ENSP00000288135;ENSP00000290401;ENSP00000304895;ENSP00000312652;ENSP00000321221;ENSP00000330341;ENSP00000330393;ENSP00000334941;ENSP00000345492;ENSP00000361548;ENSP00000371067;ENSP00000434508
96	R1	e019_R1	clathrin-dependent endocytosis / Clathrin-mediated endocytosis	GO:0072583	NA	REAC:R-HSA-8856828	GO:0016192	ENSP00000204961;ENSP00000226091;ENSP00000245323;ENSP00000267012;ENSP00000268933;ENSP00000316779;ENSP00000320543;ENSP00000332118;ENSP00000347244;ENSP00000347792;ENSP00000348602;ENSP00000350896;ENSP00000360076;ENSP00000360798;ENSP00000362014;ENSP00000362469;ENSP00000363255;ENSP00000363763;ENSP00000370719;ENSP00000377015;ENSP00000381097;ENSP00000386456;ENSP00000386722;ENSP00000392065;ENSP00000393313;ENSP00000393776;ENSP00000406209;ENSP00000409667;ENSP00000473001;ENSP00000481994
97	R1	e019_R1	Notch signaling pathway / Notch signaling pathway / Regulation of FZD by ubiquitination	GO:0007219	KEGG:04330	REAC:R-HSA-4641263	GO:0050789;GO:0048771;GO:0007154	ENSP00000205143;ENSP00000217260;ENSP00000249749;ENSP00000254958;ENSP00000256646;ENSP00000257600;ENSP00000259526;ENSP00000261537;ENSP00000263388;ENSP00000263863;ENSP00000266674;ENSP00000276659;ENSP00000277541;ENSP00000297350;ENSP00000328169;ENSP00000340292;ENSP00000345206;ENSP00000345229;ENSP00000348944;ENSP00000349041;ENSP00000349131;ENSP00000352455;ENSP00000355718;ENSP00000356247;ENSP00000364163;ENSP00000365687;ENSP00000368516;ENSP00000377710;ENSP00000381775;ENSP00000443824;ENSP00000463069;ENSP00000465500
98	R1	e019_R1	tricarboxylic acid cycle / Citrate cycle (TCA cycle) / Pyruvate metabolism and Citric Acid (TCA) cycle	GO:0006099	KEGG:00020	REAC:R-HSA-71406	GO:0006082;GO:0045333;GO:0006790;GO:0043603;GO:0009117	ENSP00000205402;ENSP00000216254;ENSP00000217901;ENSP00000222673;ENSP00000227868;ENSP00000263035;ENSP00000269980;ENSP00000280346;ENSP00000295266;ENSP00000299518;ENSP00000307241;ENSP00000318351;ENSP00000327070;ENSP00000335304;ENSP00000342056;ENSP00000359151;ENSP00000363216;ENSP00000367923;ENSP00000369134;ENSP00000370223;ENSP00000375855;ENSP00000376352;ENSP00000377446;ENSP00000387536;ENSP00000419325;ENSP00000420927;ENSP00000438144;ENSP00000443246
99	R1	e019_R1	plasma lipoprotein particle clearance / Cholesterol metabolism / Plasma lipoprotein assembly, remodeling, and clearance	GO:0034381	KEGG:04979	REAC:R-HSA-174824	GO:0006869;GO:0044255;GO:0016043;GO:0050789;GO:0032501	ENSP00000205948;ENSP00000227667;ENSP00000231751;ENSP00000233242;ENSP00000252486;ENSP00000303208;ENSP00000303634;ENSP00000315130;ENSP00000321334;ENSP00000337731;ENSP00000340820;ENSP00000345179;ENSP00000354837;ENSP00000356969;ENSP00000360280;ENSP00000363458;ENSP00000366006;ENSP00000371532;ENSP00000377233;ENSP00000380921;ENSP00000392423;ENSP00000417138;ENSP00000420939;ENSP00000435289;ENSP00000444935;ENSP00000454071;ENSP00000465356
100	R1	e019_R1	spindle organization / Centrosome maturation	GO:0007051	NA	REAC:R-HSA-380287	GO:0022607;GO:0007059;GO:0006996	ENSP00000206474;ENSP00000243706;ENSP00000248846;ENSP00000251412;ENSP00000251413;ENSP00000253669;ENSP00000260372;ENSP00000260383;ENSP00000261965;ENSP00000278886;ENSP00000281871;ENSP00000282058;ENSP00000311500;ENSP00000320797;ENSP00000356785;ENSP00000359230;ENSP00000367049;ENSP00000369871;ENSP00000439056;ENSP00000446093;ENSP00000451211;ENSP00000480316
101	R1	e019_R1	tRNA threonylcarbamoyladenosine metabolic process / tRNA modification in the nucleus and cytosol	GO:0070525	NA	REAC:R-HSA-6782315	GO:0006396;GO:0043412	ENSP00000206542;ENSP00000272424;ENSP00000306320;ENSP00000349923;ENSP00000361186
102	R1	e019_R1	Formation of the cornified envelope	NA	NA	REAC:R-HSA-6809371	NA	ENSP00000206765;ENSP00000357753;ENSP00000480484
103	R1	e019_R1	exocytosis	GO:0006887	NA	NA	GO:0050789;GO:0046903;GO:0016192	ENSP00000207549;ENSP00000262094;ENSP00000264605;ENSP00000301972;ENSP00000318803;ENSP00000328977;ENSP00000346697;ENSP00000362080;ENSP00000367494;ENSP00000374036;ENSP00000379601;ENSP00000382177;ENSP00000440704;ENSP00000477310;ENSP00000483936
104	R1	e019_R1	DNA-templated DNA replication / Cell cycle / Activation of the pre-replicative complex	GO:0006261	KEGG:04110	REAC:R-HSA-68962	GO:0032392;GO:0050789;GO:0006260;GO:0006281	ENSP00000209728;ENSP00000216122;ENSP00000219097;ENSP00000230056;ENSP00000234296;ENSP00000253462;ENSP00000257789;ENSP00000260653;ENSP00000262105;ENSP00000262460;ENSP00000264156;ENSP00000265056;ENSP00000265728;ENSP00000276533;ENSP00000292616;ENSP00000297431;ENSP00000298784;ENSP00000301019;ENSP00000307288;ENSP00000314505;ENSP00000323663;ENSP00000350491;ENSP00000353098;ENSP00000353793;ENSP00000354730;ENSP00000360623;ENSP00000368164;ENSP00000393139;ENSP00000401018;ENSP00000405726;ENSP00000413632;ENSP00000418268;ENSP00000424007;ENSP00000441953;ENSP00000480987;ENSP00000482313;ENSP00000484105
105	R1	e019_R1	nuclear transport / Nucleocytoplasmic transport / Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	GO:0051169	KEGG:03013	REAC:R-HSA-5619107	GO:0015931;GO:0051641;GO:0006997	ENSP00000209873;ENSP00000229179;ENSP00000231498;ENSP00000245544;ENSP00000258742;ENSP00000261396;ENSP00000264883;ENSP00000282091;ENSP00000285968;ENSP00000288071;ENSP00000290231;ENSP00000295119;ENSP00000306117;ENSP00000308622;ENSP00000310668;ENSP00000316032;ENSP00000321999;ENSP00000330878;ENSP00000342262;ENSP00000352400;ENSP00000355465;ENSP00000356448;ENSP00000360483;ENSP00000361544;ENSP00000361658;ENSP00000362728;ENSP00000367721;ENSP00000369042;ENSP00000371155;ENSP00000379182;ENSP00000380820;ENSP00000382779;ENSP00000385334;ENSP00000428259;ENSP00000441765;ENSP00000444029;ENSP00000448054;ENSP00000458954;ENSP00000463334;ENSP00000471191
106	R1	e019_R1	DNA methylation / Systemic lupus erythematosus / DNA methylation	GO:0006306	KEGG:05322	REAC:R-HSA-5334118	GO:0065003;GO:0006304	ENSP00000209875;ENSP00000244050;ENSP00000254810;ENSP00000266070;ENSP00000270172;ENSP00000291582;ENSP00000299440;ENSP00000312379;ENSP00000328547;ENSP00000333277;ENSP00000339835;ENSP00000340507;ENSP00000346453;ENSP00000350676;ENSP00000352252;ENSP00000352516;ENSP00000355657;ENSP00000361473;ENSP00000362441;ENSP00000365019;ENSP00000373783;ENSP00000383333;ENSP00000468304;ENSP00000476295;ENSP00000476960;ENSP00000478672;ENSP00000479617;ENSP00000480826
107	R1	e019_R1	protein ubiquitination / Neddylation	GO:0016567	NA	REAC:R-HSA-8951664	GO:0036211;GO:0006508;GO:0009057	ENSP00000209884;ENSP00000215739;ENSP00000226225;ENSP00000228495;ENSP00000261721;ENSP00000264414;ENSP00000273963;ENSP00000275532;ENSP00000280098;ENSP00000284669;ENSP00000287777;ENSP00000293303;ENSP00000301738;ENSP00000312814;ENSP00000314608;ENSP00000328352;ENSP00000331682;ENSP00000336800;ENSP00000338671;ENSP00000343273;ENSP00000347188;ENSP00000366886;ENSP00000368797;ENSP00000368799;ENSP00000369318;ENSP00000370671;ENSP00000377001;ENSP00000385096;ENSP00000401878;ENSP00000424198;ENSP00000427926;ENSP00000455785;ENSP00000476795;ENSP00000479101
108	R1	e019_R1	Hypusine synthesis from eIF5A-lysine	NA	NA	REAC:R-HSA-204626	NA	ENSP00000210060;ENSP00000295822;ENSP00000336702
109	R1	e019_R1	protein lipidation / Autophagy - other	GO:0006497	KEGG:04136	NA	GO:0036211;GO:0009059;GO:0006914	ENSP00000210187;ENSP00000234831;ENSP00000262178;ENSP00000282185;ENSP00000288828;ENSP00000306496;ENSP00000313877;ENSP00000322439;ENSP00000326340;ENSP00000327246;ENSP00000356213;ENSP00000358072;ENSP00000375872;ENSP00000387334;ENSP00000404923;ENSP00000425107;ENSP00000428220
110	R1	e019_R1	reciprocal meiotic recombination / Homologous recombination / Resolution of D-loop Structures through Holliday Junction Intermediates	GO:0007131	KEGG:03440	REAC:R-HSA-5693568	GO:0000003;GO:0000280;GO:0007049;GO:0006281	ENSP00000212015;ENSP00000216024;ENSP00000228843;ENSP00000249396;ENSP00000251303;ENSP00000254605;ENSP00000261584;ENSP00000283921;ENSP00000287647;ENSP00000294008;ENSP00000307853;ENSP00000310670;ENSP00000310842;ENSP00000316609;ENSP00000317636;ENSP00000328940;ENSP00000336606;ENSP00000336701;ENSP00000340796;ENSP00000352271;ENSP00000354497;ENSP00000354916;ENSP00000358742;ENSP00000361043;ENSP00000366410;ENSP00000369497;ENSP00000372088;ENSP00000376952;ENSP00000396976;ENSP00000419471;ENSP00000435506;ENSP00000451974;ENSP00000457353;ENSP00000466399;ENSP00000466834
111	R1	e019_R1	vacuolar acidification / Collecting duct acid secretion / Insulin receptor recycling	GO:0007035	KEGG:04966	REAC:R-HSA-77387	GO:1902600;GO:0009117;GO:0065007	ENSP00000215375;ENSP00000216442;ENSP00000234396;ENSP00000243997;ENSP00000253413;ENSP00000259229;ENSP00000262030;ENSP00000264649;ENSP00000265686;ENSP00000272238;ENSP00000273398;ENSP00000276390;ENSP00000281087;ENSP00000284727;ENSP00000285393;ENSP00000290299;ENSP00000290949;ENSP00000292114;ENSP00000292475;ENSP00000300688;ENSP00000301587;ENSP00000302194;ENSP00000304891;ENSP00000306003;ENSP00000308122;ENSP00000308334;ENSP00000329757;ENSP00000332247;ENSP00000335203;ENSP00000349142;ENSP00000352522;ENSP00000354632;ENSP00000355265;ENSP00000358737;ENSP00000358777;ENSP00000358840;ENSP00000363162;ENSP00000369513;ENSP00000370414;ENSP00000377033;ENSP00000377878;ENSP00000379203;ENSP00000381736;ENSP00000389649;ENSP00000394107;ENSP00000401770;ENSP00000411672;ENSP00000417378;ENSP00000421076;ENSP00000429690;ENSP00000434729
112	R1	e019_R1	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process / Ubiquitin mediated proteolysis / Antigen processing: Ubiquitination & Proteasome degradation	GO:0031146	KEGG:04120	REAC:R-HSA-983168	GO:0006508;GO:0009057	ENSP00000215574;ENSP00000227163;ENSP00000268638;ENSP00000274255;ENSP00000281708;ENSP00000303706;ENSP00000311083;ENSP00000326804;ENSP00000359206;ENSP00000371805;ENSP00000433488
113	R1	e019_R1	stress-activated MAPK cascade / MAPK signaling pathway / MAP kinase activation	GO:0051403	KEGG:04010	REAC:R-HSA-450294	GO:0050789;GO:0050896;GO:0065009	ENSP00000215631;ENSP00000216160;ENSP00000222574;ENSP00000229795;ENSP00000239223;ENSP00000241014;ENSP00000252506;ENSP00000266744;ENSP00000284637;ENSP00000298573;ENSP00000309597;ENSP00000330572;ENSP00000333685;ENSP00000342026;ENSP00000355866;ENSP00000356070;ENSP00000360025;ENSP00000361014;ENSP00000363092;ENSP00000375986;ENSP00000378974;ENSP00000381070;ENSP00000381607;ENSP00000388940;ENSP00000396467;ENSP00000402257;ENSP00000483059
114	R1	e019_R1	peptidyl-cysteine S-nitrosylation	GO:0018119	NA	NA	GO:0036211	ENSP00000215659;ENSP00000217381;ENSP00000225688;ENSP00000261438;ENSP00000262241;ENSP00000270722;ENSP00000290921;ENSP00000296452;ENSP00000311825;ENSP00000311837;ENSP00000331614;ENSP00000344479;ENSP00000350310;ENSP00000354487;ENSP00000355133;ENSP00000360526;ENSP00000363667;ENSP00000380034;ENSP00000454157;ENSP00000477999
115	R1	e019_R1	regulation of tyrosine phosphorylation of STAT protein / JAK-STAT signaling pathway / IL-6-type cytokine receptor ligand interactions	GO:0042509	KEGG:04630	REAC:R-HSA-6788467	GO:0050789;GO:0036211;GO:0001816;GO:0006793;GO:0002376;GO:0008283;GO:0050896;GO:0001775	ENSP00000215781;ENSP00000221847;ENSP00000228534;ENSP00000230990;ENSP00000231228;ENSP00000245222;ENSP00000249075;ENSP00000262345;ENSP00000263379;ENSP00000263409;ENSP00000264563;ENSP00000274276;ENSP00000279804;ENSP00000303231;ENSP00000309338;ENSP00000321345;ENSP00000329418;ENSP00000349365;ENSP00000355370;ENSP00000357470;ENSP00000359575;ENSP00000366234;ENSP00000368265;ENSP00000369530;ENSP00000370698;ENSP00000376188;ENSP00000385675;ENSP00000415900;ENSP00000431885;ENSP00000450565;ENSP00000470788
116	R1	e019_R1	positive regulation of peptidyl-serine phosphorylation of STAT protein / Toll-like receptor signaling pathway / Regulation of IFNA/IFNB signaling	GO:0033141	KEGG:04620	REAC:R-HSA-912694	GO:0036211;GO:0006793;GO:0002376;GO:0001775;GO:0050789;GO:0050896;GO:0044419	ENSP00000215794;ENSP00000239347;ENSP00000270139;ENSP00000276927;ENSP00000343957;ENSP00000369553;ENSP00000369554;ENSP00000369558;ENSP00000369564;ENSP00000369566;ENSP00000369571;ENSP00000369574;ENSP00000369578;ENSP00000369581;ENSP00000411940;ENSP00000412897;ENSP00000480467
117	R1	e019_R1	regulation of Arp2/3 complex-mediated actin nucleation / Negative regulation of MAPK pathway	GO:0034315	NA	REAC:R-HSA-5675221	GO:0065008;GO:0050789;GO:0051258;GO:0051261	ENSP00000215832;ENSP00000240079;ENSP00000262948;ENSP00000263025;ENSP00000263168;ENSP00000279488;ENSP00000282633;ENSP00000288602;ENSP00000291700;ENSP00000302486;ENSP00000309116;ENSP00000318016;ENSP00000326238;ENSP00000331983;ENSP00000354947;ENSP00000357055;ENSP00000363482;ENSP00000371194;ENSP00000376800;ENSP00000381958;ENSP00000389715;ENSP00000401010;ENSP00000403524;ENSP00000411397;ENSP00000435412;ENSP00000483056;ENSP00000484713;ENSP00000485627
118	R1	e019_R1	Endometrial cancer / Signaling by PDGFRA extracellular domain mutants	NA	KEGG:05213	REAC:R-HSA-9673770	GO:0006351;GO:0050789;GO:0044255;GO:0006793	ENSP00000215909;ENSP00000216294;ENSP00000221573;ENSP00000222254;ENSP00000256078;ENSP00000256196;ENSP00000262741;ENSP00000263967;ENSP00000282096;ENSP00000286827;ENSP00000289153;ENSP00000290277;ENSP00000298532;ENSP00000299084;ENSP00000303192;ENSP00000319597;ENSP00000344544;ENSP00000348753;ENSP00000351015;ENSP00000351957;ENSP00000352121;ENSP00000356840;ENSP00000358548;ENSP00000360431;ENSP00000366563;ENSP00000370200;ENSP00000376786;ENSP00000392812;ENSP00000407586;ENSP00000428056;ENSP00000479844;ENSP00000480157
119	R1	e019_R1	cilium assembly / Endocytosis / BBSome-mediated cargo-targeting to cilium	GO:0060271	KEGG:04144	REAC:R-HSA-5620922	GO:0022607;GO:0051641;GO:0016192;GO:0006996	ENSP00000215957;ENSP00000220325;ENSP00000242067;ENSP00000244040;ENSP00000245157;ENSP00000253699;ENSP00000261263;ENSP00000263277;ENSP00000263991;ENSP00000264499;ENSP00000264710;ENSP00000268057;ENSP00000295240;ENSP00000296135;ENSP00000300935;ENSP00000317469;ENSP00000325594;ENSP00000327116;ENSP00000337722;ENSP00000350934;ENSP00000351664;ENSP00000355651;ENSP00000356231;ENSP00000370208;ENSP00000378313;ENSP00000416015;ENSP00000433157;ENSP00000459943;ENSP00000479153;ENSP00000482306
120	R1	e019_R1	interstrand cross-link repair / Fanconi anemia pathway / Deposition of new CENPA-containing nucleosomes at the centromere	GO:0036297	KEGG:03460	REAC:R-HSA-606279	GO:0036211;GO:0007059;GO:0051276;GO:0006281	ENSP00000215980;ENSP00000229769;ENSP00000232424;ENSP00000267430;ENSP00000272937;ENSP00000273853;ENSP00000276079;ENSP00000281453;ENSP00000283006;ENSP00000289081;ENSP00000289316;ENSP00000308583;ENSP00000310356;ENSP00000317039;ENSP00000330875;ENSP00000333283;ENSP00000336868;ENSP00000337289;ENSP00000343966;ENSP00000347232;ENSP00000348527;ENSP00000349748;ENSP00000354346;ENSP00000356243;ENSP00000357308;ENSP00000360133;ENSP00000362018;ENSP00000364737;ENSP00000367022;ENSP00000367910;ENSP00000369075;ENSP00000370214;ENSP00000373952;ENSP00000376168;ENSP00000377007;ENSP00000379911;ENSP00000381378;ENSP00000383710;ENSP00000385021;ENSP00000442336;ENSP00000457810;ENSP00000466121;ENSP00000477907;ENSP00000483903
121	R1	e019_R1	[2Fe-2S] cluster assembly / Sulfur relay system	GO:0044571	KEGG:04122	NA	GO:0022607;GO:0006790	ENSP00000216027;ENSP00000244051;ENSP00000280701;ENSP00000306397;ENSP00000310623;ENSP00000363205;ENSP00000366482;ENSP00000368688;ENSP00000370761;ENSP00000377311;ENSP00000380402;ENSP00000388320;ENSP00000390011;ENSP00000412922;ENSP00000420026;ENSP00000458770;ENSP00000466639
122	R1	e019_R1	outer mitochondrial membrane organization / Cristae formation	GO:0007008	NA	REAC:R-HSA-8949613	GO:0061024;GO:0007005;GO:0015031	ENSP00000216034;ENSP00000235329;ENSP00000249442;ENSP00000262570;ENSP00000284320;ENSP00000290913;ENSP00000309561;ENSP00000325562;ENSP00000345445;ENSP00000351214;ENSP00000354204;ENSP00000355566;ENSP00000356967;ENSP00000357360;ENSP00000362268;ENSP00000366800;ENSP00000368528;ENSP00000381859;ENSP00000387262;ENSP00000410339;ENSP00000418428;ENSP00000420617;ENSP00000423600;ENSP00000438204
123	R1	e019_R1	tRNA splicing, via endonucleolytic cleavage and ligation / tRNA processing in the nucleus	GO:0006388	NA	REAC:R-HSA-6784531	GO:0006396	ENSP00000216038;ENSP00000238823;ENSP00000258457;ENSP00000258772;ENSP00000261700;ENSP00000370745;ENSP00000380734;ENSP00000417677
124	R1	e019_R1	antigen processing and presentation, exogenous lipid antigen via MHC class Ib / Iron uptake and transport	GO:0048007	NA	REAC:R-HSA-917937	GO:0002376;GO:0006811;GO:0050789	ENSP00000216044;ENSP00000266556;ENSP00000269228;ENSP00000273550;ENSP00000289429;ENSP00000336769;ENSP00000337014;ENSP00000346990;ENSP00000353224;ENSP00000357150;ENSP00000357152;ENSP00000357153;ENSP00000366525;ENSP00000370767;ENSP00000385834;ENSP00000417404;ENSP00000420525;ENSP00000451112;ENSP00000452780;ENSP00000477563
